                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.216,                  6.832,                 2.5797,                0.28062,                0.07929,                0.03032,                0.01514,                 1.7762,                 5.1508,                 2.2388,               0.030279,              0.0086172,              0.0086172
                      2,                 1.6065,                 4.9207,                 2.0166,                0.29873,                0.10214,                0.06743,                0.03695,                 1.6458,                 4.5092,                 2.0731,               0.010989,               0.010989,               0.010989
                      3,                 1.5115,                 4.4346,                 1.9238,                0.27898,                0.14107,                0.10786,                0.06108,                 1.5427,                 3.8695,                 1.9091,               0.010978,               0.010978,               0.010978
                      4,                 1.4778,                 4.2477,                 1.8868,                0.30041,                0.16887,                0.13645,                0.08057,                  1.477,                 3.6047,                 1.8456,               0.010967,               0.010967,               0.010967
                      5,                 1.4544,                 4.1411,                 1.8669,                0.32989,                0.17997,                0.15547,                0.09323,                 1.4367,                 3.4237,                  1.799,               0.010956,               0.010956,               0.010956
                      6,                 1.4448,                  4.068,                 1.8522,                0.33121,                0.19375,                0.17126,                0.10455,                 1.4053,                 3.2911,                 1.7676,               0.010945,               0.010945,               0.010945
                      7,                 1.4337,                  4.022,                 1.8404,                0.34113,                0.20472,                0.18039,                0.11117,                 1.3861,                 3.2236,                 1.7493,               0.010935,               0.010935,               0.010935
                      8,                 1.4272,                 3.9747,                 1.8314,                0.32636,                0.20799,                0.18723,                0.11603,                 1.3726,                 3.1747,                 1.7353,               0.010924,               0.010924,               0.010924
                      9,                 1.4211,                 3.9463,                  1.826,                0.33525,                0.21051,                0.19247,                0.12022,                 1.3637,                 3.1409,                 1.7267,               0.010913,               0.010913,               0.010913
                     10,                 1.4179,                 3.9207,                 1.8228,                0.36066,                0.21015,                0.19512,                0.12242,                 1.3585,                 3.1194,                 1.7223,               0.010902,               0.010902,               0.010902
                     11,                  1.413,                 3.8999,                 1.8152,                0.35588,                0.21203,                 0.1967,                0.12376,                 1.3533,                 3.1048,                 1.7174,               0.010891,               0.010891,               0.010891
                     12,                 1.4108,                  3.875,                 1.8119,                0.36189,                0.21501,                0.19874,                0.12498,                 1.3495,                 3.0924,                 1.7141,                0.01088,                0.01088,                0.01088
                     13,                 1.4097,                 3.8645,                 1.8103,                0.36747,                0.21751,                0.20029,                0.12607,                 1.3465,                 3.0852,                 1.7111,               0.010869,               0.010869,               0.010869
                     14,                 1.4057,                 3.8416,                 1.8059,                0.37128,                0.21918,                0.20126,                0.12666,                 1.3446,                 3.0783,                 1.7086,               0.010858,               0.010858,               0.010858
                     15,                 1.4031,                  3.833,                 1.8021,                0.37626,                0.21995,                 0.2033,                0.12789,                 1.3424,                 3.0718,                 1.7062,               0.010847,               0.010847,               0.010847
                     16,                 1.4008,                  3.821,                 1.8011,                0.38144,                0.21919,                0.20455,                0.12881,                 1.3393,                 3.0651,                 1.7035,               0.010836,               0.010836,               0.010836
