                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0548,                 5.6999,                 3.3836,                      0,                      0,                      0,                      0,                 4.0789,                  5.419,                 3.5234,                  1e-05,                  1e-05,                  1e-05
                      2,                 4.0074,                 5.6904,                 3.3532,                      0,                      0,                      0,                      0,                 4.0695,                 5.4187,                 3.5204,                  1e-05,                  1e-05,                  1e-05
                      3,                 4.0149,                 5.6867,                 3.3286,                      0,                      0,                      0,                      0,                 4.0586,                 5.4184,                 3.5061,             9.9901e-06,             9.9901e-06,             9.9901e-06
                      4,                 3.9935,                 5.6926,                 3.3302,                      0,                      0,                      0,                      0,                 4.0516,                 5.4199,                 3.5015,             9.9802e-06,             9.9802e-06,             9.9802e-06
                      5,                 3.9893,                 5.6952,                 3.3213,                      0,                      0,                      0,                      0,                   4.04,                 5.4196,                 3.4953,             9.9703e-06,             9.9703e-06,             9.9703e-06
                      6,                 3.9895,                 5.6944,                 3.2961,                      0,                      0,                      0,                      0,                 4.0405,                 5.4188,                 3.4872,             9.9604e-06,             9.9604e-06,             9.9604e-06
                      7,                 3.9993,                 5.6926,                 3.2935,                      0,                      0,                      0,                      0,                 4.0301,                 5.4188,                 3.4776,             9.9505e-06,             9.9505e-06,             9.9505e-06
                      8,                 3.9711,                 5.6889,                 3.3017,                      0,                      0,                      0,                      0,                  4.024,                 5.4191,                  3.475,             9.9406e-06,             9.9406e-06,             9.9406e-06
                      9,                 3.9565,                 5.6815,                 3.2956,                      0,                      0,                      0,                      0,                  4.016,                 5.4192,                 3.4632,             9.9307e-06,             9.9307e-06,             9.9307e-06
                     10,                 3.9492,                 5.6802,                 3.2787,                      0,                      0,                      0,                      0,                 3.9973,                 5.4201,                 3.4497,             9.9208e-06,             9.9208e-06,             9.9208e-06
                     11,                   3.94,                 5.6766,                 3.2653,                      0,                      0,                      0,                      0,                 3.9912,                 5.4177,                 3.4399,             9.9109e-06,             9.9109e-06,             9.9109e-06
                     12,                 3.9441,                 5.6774,                 3.2834,                      0,                      0,                      0,                      0,                 3.9847,                 5.4186,                 3.4353,              9.901e-06,              9.901e-06,              9.901e-06
                     13,                 3.9543,                 5.6764,                 3.2607,                      0,                      0,                      0,                      0,                 3.9853,                 5.4195,                  3.431,             9.8911e-06,             9.8911e-06,             9.8911e-06
                     14,                 3.9505,                 5.6734,                 3.2592,                      0,                      0,                      0,                      0,                 3.9751,                   5.42,                 3.4211,             9.8812e-06,             9.8812e-06,             9.8812e-06
                     15,                 3.9013,                  5.676,                 3.2619,                      0,                      0,                      0,                      0,                 3.9669,                 5.4189,                 3.4133,             9.8713e-06,             9.8713e-06,             9.8713e-06
                     16,                 3.8838,                 5.6674,                 3.2544,                      0,                      0,                      0,                      0,                 3.9593,                 5.4189,                 3.4139,             9.8614e-06,             9.8614e-06,             9.8614e-06
                     17,                 3.9145,                  5.681,                 3.2588,                      0,                      0,                      0,                      0,                 3.9583,                 5.4183,                 3.4042,             9.8515e-06,             9.8515e-06,             9.8515e-06
                     18,                 3.9255,                 5.6767,                 3.2579,                      0,                      0,                      0,                      0,                 3.9457,                 5.4198,                 3.4032,             9.8416e-06,             9.8416e-06,             9.8416e-06
                     19,                 3.9051,                 5.6756,                 3.2422,                      0,                      0,                      0,                      0,                 3.9376,                 5.4185,                 3.3945,             9.8317e-06,             9.8317e-06,             9.8317e-06
                     20,                 3.9003,                 5.6699,                 3.2443,                      0,                      0,                      0,                      0,                 3.9291,                 5.4173,                 3.3877,             9.8218e-06,             9.8218e-06,             9.8218e-06
